customer_message,expected_intent,predicted_intent,expected_decision,predicted_decision,similarity,suggested_response,reason
"@AmazonHelp Says looks like it's lost, check the the options below. But there aren't any!",service_complaint,service_complaint,auto_handle,escalate,0.46138175494331696,@133008 Try following these steps to post that review Rachel: https://t.co/58fERYcfu2 ^MA,The historical evidence is not sufficiently strong for safe automatic handling of the complaint.
割と長い期間Amazonのプライム会員だけど、本の読み放題あるの今知った。,prime_membership,service_complaint,auto_handle,escalate,0.0,@823866 当サイトからそのようなメールをお送りすることはございません。当サイトの名をかたるフィッシング行為が増えているようです。連絡先に電話をしたりしないようお気を付けください。https://t.co/k4jy2iBODo  SM,The historical evidence is not sufficiently strong for safe automatic handling of the complaint.
@AmazonHelp But can not understand the cause of delay,delivery_issue,delivery_issue,escalate,escalate,0.4546751515542955,"@125793 Sorry to hear that, James, it's not what we want you to experience, contact us here:  https://t.co/JzP7hlA23B ^AS","The delivery issue appears delayed, unresolved, unsafe, or case-specific and requires human intervention."
When nothing you’ve ordered on #AmazonPrime in the past month has actually arrived in two-days. Am I seriously the only one? @115821 https://t.co/Jy0Bin02Cr,delivery_issue,delivery_issue,escalate,escalate,0.4124685071918635,"@134811 Sorry for the confusion on this. I am glad to see that we over delivered in this case, if you ever have an issue to raise you know where to find us  :D",There is insufficient historical evidence for safe automatic handling of the delivery issue.
@AmazonHelp ordered a JBL CHARGE3 on Black Friday. Unplugged it the first time it does this help!  @164902 maybe you can help too?  I don’t want a return just a new cord. https://t.co/UbEAakQCcI,refund_return,refund_return,escalate,escalate,0.3348649972576073,@219990 We're sorry know about the trouble with the order you received. Could you please confirm if you've reported this to our support team here: https://t.co/rS49hgaADF? Do keep us posted. ^SM,"Refund and return requests can involve order-specific actions, so they are escalated for safe handling."
@AmazonHelp Dans ce cas annulez ma commande et remboursez moi,service_complaint,service_complaint,auto_handle,escalate,0.4345890061674603,"@531653 Tout-à-fait, dans la mesure où vous ne pouvez pas l'essayer sans ouvrir la boite, l'article défectueux peut être retourné. ^MH",The historical evidence is not sufficiently strong for safe automatic handling of the complaint.
"@AmazonHelp @115850 Can I know why the pickup is cancelled??
I am done with this bullshit despite you guys apologizing for yesterday's behavior.
Call me. https://t.co/l6JqgynyH0",refund_return,service_complaint,escalate,escalate,0.3589258796698389,@204455 We have sent a correspondence to your registered email id here: https://t.co/fYrzNInVt2. Request you to check.  ^SB,The customer explicitly requests human assistance or case-specific intervention.
@115821 I need help! I scanned a $50 gift card on my phone 11/23 and it’s not noted on my account. I noticed yesterday when I went to make a purchase. I sent emails and to no avail. Please help.,payment_issue,payment_issue,escalate,escalate,0.3221580540230665,@797715 Oh no! Please follow the steps to report that here: https://t.co/90g2iQ5tbX ^SG,The message involves an account or contact-detail issue that may require account-specific verification or human intervention.
"@115850 @AmazonHelp @115821 - Order# 408-3265294-3245900,I haven't recevied my product yet, nobody is giving the date ,i am a prime member",delivery_not_received,prime_membership,escalate,escalate,0.3865634601728431,"@207490 Please don't provide your order details, we consider it to be personal information. Our page is visible to the public. (2/2)^AM",There is insufficient historical evidence for safe automatic handling of this Prime membership request.
@AmazonHelp I have shared the required details. Please resolve the issue ASAP,service_complaint,service_complaint,escalate,escalate,0.7825877874311646,@384917 We've received your details and we'll reach out to you soon. ^GK,"The customer indicates an unresolved issue, repeated unsuccessful support, or insufficient context for safe automatic handling."
"@AmazonHelp Just spoke with your representative and found him 'rude' which is 'silly', and never expected this from the professionals like u @115850",service_complaint,service_complaint,escalate,escalate,0.3193059943001475,@474149 Oh my! Terribly sorry! Did you see the email survey offered after the call? That feedback goes to the agent's leadership. 1/2,The customer explicitly requests human assistance or case-specific intervention.
"@AmazonHelp Hello Team, Return order request has not been done yet. Please help. Urgent..",refund_return,refund_return,escalate,escalate,0.317666315003192,@171474 We have responded to you here: https://t.co/gsSFrIvn85. Kindly check. ^MP,The refund or return appears unresolved or case-specific and requires human intervention.
"So if you lost my #kindle how exactly was it returned @115821, Also why do you think my home is a business. Also, why did you say I was closed because today is a holiday? Do I owe myself holiday pay? #Curious https://t.co/ig2otyw5Lw",refund_return,payment_issue,escalate,escalate,0.1400569571275891,"@738463 If the order was never dispatched and you have now canceled it, any held payment authorization will be released automatically ^BZ",Payment-related issues can involve financial information or account-specific transactions and therefore require human review.
"@AmazonHelp Haven't received yet? I guess I have to cancel this order. I have to give to a friend who is leaving tomorrow morning. If its not delivered today, I would be forced to cancel this order.",delivery_issue,delivery_issue,escalate,escalate,0.2563383368679878,@294169 Apologies for this delay. Please provide your details here: https://t.co/beaaDm0muc and I'll look into it right away. ^SF,"The delivery issue appears delayed, unresolved, unsafe, or case-specific and requires human intervention."
@AmazonHelp It was amazon. AMZL US,delivery_issue,service_complaint,auto_handle,auto_handle,1.0,"@323933 Hi Tee, what is the status of the order on the tracking?  https://t.co/Y5jpI9gRhE ^AT",The complaint is sufficiently similar to historical support conversations and does not show a strong unresolved-support signal.
If @115821 leaves another one of my packages outside unattended I’m going to stop ordering from them @AmazonHelp,delivery_issue,delivery_issue,escalate,escalate,0.29227559811406667,"@396880 I'm sorry for any concern! Just to confirm, who's the carrier shown under tracking info: https://t.co/Y5jpI9gRhE? ^WT",There is insufficient historical evidence for safe automatic handling of the delivery issue.
"@AmazonHelp I will never advise any of my known people to buy a single thing from Amazon. Even it's offered for free. Really absurd, arrogant attitude.",service_complaint,service_complaint,escalate,escalate,0.34458517229777247,"@628841 As mentioned on the form, an answer will be sent to you within 12 hours. ^MH","The customer indicates an unresolved complaint, repeated unsuccessful support, dissatisfaction requiring intervention, or insufficient context for safe automatic handling."
"@AmazonHelp it was DPD I’ve had pantry boxes before always secure, I’ll need to reorder but I’m not paying delivery again",service_complaint,delivery_issue,escalate,escalate,0.36382874556360323,"@217961 As we're unable to view your account via Twitter,pls contact here:https://t.co/JzP7hlA23B so we can look into this.^KM",There is insufficient historical evidence for safe automatic handling of the delivery issue.
@AmazonHelp This came up so I emailed the email address on the website to send proof and that is what failed to send https://t.co/bWem9XFFQm,service_complaint,service_complaint,auto_handle,escalate,0.4465928951086895,@223419 We're glad to hear that. Don't hesitate to reach our to us with any future issues or concerns. ^GG,The message involves an account or contact-detail issue that may require account-specific verification or human intervention.
@AmazonHelp Also promised a refund for missing order but no email confirmation yet,refund_return,refund_return,escalate,escalate,0.3922701821045987,"@125940 Thanks for reaching out, Tim- I'm sorry for any trouble! We'd like to look into this with you. What was the reason for the return? Let us know! ^BL","Refund and return requests can involve order-specific actions, so they are escalated for safe handling."
Amazonプライムにも入会してしまったのでますます視聴がおっつかない,prime_membership,service_complaint,auto_handle,escalate,0.0,@823866 当サイトからそのようなメールをお送りすることはございません。当サイトの名をかたるフィッシング行為が増えているようです。連絡先に電話をしたりしないようお気を付けください。https://t.co/k4jy2iBODo  SM,The historical evidence is not sufficiently strong for safe automatic handling of the complaint.
@AmazonHelp No. it just diappears.,service_complaint,service_complaint,escalate,escalate,1.0,@295979 An email has already been sent with a reply. Kindly check it from the link shared here: https://t.co/NTkrxpsbHJ ^HR,"The customer indicates an unresolved issue, repeated unsuccessful support, or insufficient context for safe automatic handling."
@AmazonHelp I appreciate your response. We posted the same on your page just to bring it in to your notice and swift action only as we are frustrated enough by the system,service_complaint,service_complaint,escalate,escalate,0.5314712103138078,"@683412 Thank you, Lisa! We've received your information and will reach out soon! ^BN","The customer indicates an unresolved complaint, repeated unsuccessful support, dissatisfaction requiring intervention, or insufficient context for safe automatic handling."
"@AmazonHelp thank u amazon not to deliver my product on time.
Again missed delivery date",delivery_issue,delivery_issue,escalate,escalate,0.4214270414645619,"@750594 Please be assured, delivery would be done as per the estimated delivery date mentioned. ^GS","The delivery issue appears delayed, unresolved, unsafe, or case-specific and requires human intervention."
@AmazonHelp Vendido x Amazon EU,order_issue,service_complaint,auto_handle,auto_handle,0.7926472695233199,"@276618 Gracias por la información, Jaume. ¿Te has puesto en contacto con el transportista asignado a la entrega? ^LC",The complaint is sufficiently similar to historical support conversations and does not show a strong unresolved-support signal.
Thanks to @116935 for an easy-to-use and fast-connection iOS App! #BehindTheSmile,product_issue,service_complaint,auto_handle,escalate,0.4826137198980189,@487997 You can send the feedback through the app itself! Tap the three dots in top right corner &gt; Contact Us &gt; Feedback. ^BV,The historical evidence is not sufficiently strong for safe automatic handling of the complaint.
"@117795 really don't like when your couriers lie about accessing my location that has no security gate.  My son has allergies, I order his food from you.  Now he has to wait bc your courier doesn't know how to Google map. Or call us if lost. Thx",delivery_issue,delivery_issue,escalate,escalate,0.22215673917398251,"@259896 I'm sorry for the delay. We don't have access to your order through Twitter, but we'd certainly like to help. 1/2 ^MB",The customer explicitly requests human assistance or case-specific intervention.
@AmazonHelp @115850 trimmer and bedsheet means the same ! I can keep the bedsheet if it's a Diwali gift but send me the trimmer I had ordered ASAP. https://t.co/KbQKMv8sxX,order_issue,order_issue,escalate,escalate,0.9878921889607186,@192448 Write to us here: https://t.co/GIJyeYqKE0 &amp; we'll get in touch with you.2/2 ^MJ,The message describes an order-specific problem that may require case-specific intervention.
@AmazonHelp 人工知能と疑ってすみませんでした。丁寧なリプライ心に響きました。遅い時間までお疲れ様です。頑張ってください。,service_complaint,service_complaint,auto_handle,auto_handle,1.0,@115770 カスタマーサービスにてお問い合わせ済みとのことで、お手数をおかけいたしました。リプライいただきありがとうございました。ET,The complaint is sufficiently similar to historical support conversations and does not show a strong unresolved-support signal.
@115850 Surprised that @118702 @122951 delivers every product in 620024 but you don't,delivery_issue,product_issue,escalate,escalate,0.3197883169434813,"@549706 If you've shared your details in the link provided earlier, you should've received an email correspondence from (1/2) ^KA",There is insufficient historical evidence for safe automatic handling of the product issue.
@AmazonHelp Your product wich is in pic looks diffrent nd we receve is diffrent and also a color we cannt cancle this bcz i m live in dakor gujarat,product_issue,product_issue,escalate,escalate,0.325390203303381,@370608 We've sent a correspondence to your registered account. Please check the same and get back for further assistance. ^VR,There is insufficient historical evidence for safe automatic handling of the product issue.
Way to go @115821 for just throwing my stuff in a box with no packing material and with everything out of the wrappers. #goodjob https://t.co/lVMo6vFahI,delivery_issue,service_complaint,escalate,escalate,0.43272968405379597,@257628 I get your concern. Kindly provide your packaging feedback here: https://t.co/Hnlg0058RB. We'll have this reviewed internally. ^NK,The historical evidence is not sufficiently strong for safe automatic handling of the complaint.
@AmazonHelp Pl tell me delivery date,delivery_issue,delivery_issue,auto_handle,auto_handle,0.6042893436920065,"@301084 We're working on your concern, Pramod. Request you to wait till our team gets back with an update. ^SK",The customer is requesting routine delivery information and the message is sufficiently similar to historical support conversations.
@AmazonHelp Una ayer y hoy mismo he puesto otra.,order_issue,service_complaint,escalate,escalate,0.4815412799670951,@303886 Puede tomar entre 24 y 48 horas hábiles para que la información sea revisada y recibas una respuesta. ^JQ,The historical evidence is not sufficiently strong for safe automatic handling of the complaint.
@AmazonHelp already been on the phone to customer support still fuming with you cancelling my prime membership disgusting behaviour,prime_membership,prime_membership,escalate,escalate,0.4789241685628609,@157017 Please keep us posted when the call ends. We want to ensure they resolve this for you. ^GR,The message involves an account or contact-detail issue that may require account-specific verification or human intervention.
@AmazonHelp não,service_complaint,service_complaint,auto_handle,auto_handle,1.0,"@716701 Jose, neste caso sugiro para você entrar em contato com o nosso SAC no seguinte link: https://t.co/qGpkDwGRhX. ^NB",The complaint is sufficiently similar to historical support conversations and does not show a strong unresolved-support signal.
"@123813 existe mes de prueba? La competencia es pésima, pero dicen que ""más vale malo conocido...""",prime_membership,service_complaint,auto_handle,escalate,0.3476108121187762,"@755150 Hola, te comentamos que Prime Video es uno de los beneficios de la suscripción Prime, si tienes tu suscripción activa no tendrás ningún costo adicional por el servicio de Prime Video. Puedes ver más información aquí: https://t.co/zn2u5dWwfA. ^MZ",The historical evidence is not sufficiently strong for safe automatic handling of the complaint.
@115821 why is the Alexa app moving so slow today ?,product_issue,service_complaint,escalate,escalate,0.5688159147432792,@291341 We're always looking to improve! Please share your feedback/requests from the Alexa app: https://t.co/xksjDpKbwx ^GG,The historical evidence is not sufficiently strong for safe automatic handling of the complaint.
i'm crying my amazon package was supposed to arrive at 9 and it's def 9:20,delivery_issue,delivery_issue,escalate,escalate,0.41529675359012697,@164581 We're sorry to hear this! We'd like to lend you a hand; what does the current order status show: https://t.co/Y5jpI9gRhE? ^WM,There is insufficient historical evidence for safe automatic handling of the delivery issue.
@AmazonHelp Like I mentioned in my first tweet I was assured and sent an email confirmation but still I keep receiving the product every 2 months. Not sure if its a bug in your systems that my order is not getting updated,order_issue,product_issue,escalate,escalate,0.23413826010367583,@181650 That's strange. Looks like the notification of emails have been set to off. Let us help you out here. Please reach us via https://t.co/CNHA4voaWH and we'll help you out. ^VM,There is insufficient historical evidence for safe automatic handling of the product issue.
"@AmazonHelp My card was already charged, but the status says ""shipping soon"". I am concerned that if my order hasn't even been shipped, then how will it be delivered by the date Amazon sets? But I will wait until the 10th to see if my order gets home.",payment_issue,payment_issue,escalate,escalate,0.32711578545866576,@212790 Hello! Your order can ship anytime before the estimated delivery date and you will be charged once it ships. ^TN,Payment-related issues can involve financial information or account-specific transactions and therefore require human review.
"@115851 @AmazonHelp Why is @115850 promoting and selling spurious/counterfeit items? No answer to queries to them. Does Amazon encourage selling counterfeits? In India, this is illegal. https://t.co/9eXMnsrn99",product_issue,product_issue,escalate,escalate,0.2660603640806715,"@116091 We'd like to look into this with you in real time, Bry. When you can, please ring or chat in with us: https://t.co/JzP7hlA23B ^BL","The product issue appears case-specific, unresolved, or potentially requires return, refund, or human intervention."
You pay for an Amazon Prime membership and this is where your packages are left whilst you’re at work 😤 #NotImpressed @115830 https://t.co/UEvbve6G0I,delivery_issue,payment_issue,escalate,escalate,0.37701448323000863,"@286369 I understand your concern regarding Prime membership. As mentioned earlier, the promotion has been expired and the membership will cost Rs 999. ^JS",Payment-related issues can involve financial information or account-specific transactions and therefore require human review.
@115821 wanna tell me why the order I placed yesterday w/1-day shipping isn’t scheduled 2 arrive until Wed? GRANDDAUGHTER B-DAY &amp; u SUCK,delivery_issue,delivery_issue,escalate,escalate,0.256949499882015,@266377 We aim to meet the original date given. Due to unforeseen events there may be delays that occur and we'll provide new delivery estimates. Please let us know if you don't receive the others between today and the 24th. ^MG,There is insufficient historical evidence for safe automatic handling of the delivery issue.
"@115850 #AmazonNow has some rude representatives 😷
Pathetic! Send a substitute and later argue nonsense without  getting facts right!",order_issue,delivery_issue,escalate,escalate,0.16171485672031474,"@319629 Apologies Deep, you can add your insight by writing back to the e-mail sent by Socia Media team. We'll revert to the same. ^MP",The customer explicitly requests human assistance or case-specific intervention.
@AmazonHelp Again my another order with  Order ID: #405-0991980-9519516 cancelled without my concern why amazon provide offers during great indian sale?,order_issue,order_issue,escalate,escalate,0.49970324289101475,"@348725 Please don't provide your order details, we consider it personal information. Our Twitter page is visible to public.(2/2)^SV",The historical evidence is not sufficiently strong for safe automatic handling of this order issue.
@AmazonHelp I'm trying to watch 12 Chairs on prime but the subtitles are about a minute off to the words. Is it an issue on my end or yours,product_issue,prime_membership,escalate,escalate,0.3166323259655038,@139186 I'm sorry about the subtitle trouble! Have you tried reinstalling the app? Is the timing completely off for the subtitles? ^ME,"The Prime membership message involves a transaction, cancellation, or unresolved account-specific issue."
What's the point of subscribing to @115830 Prime if it keeps failing to meet its one day delivery promise? Then being told to wait another few days for it to turn up. Rubbish.,delivery_issue,prime_membership,escalate,escalate,0.35371712853774306,"@378473 Apologies for the unpleasant experience you've had with the delivery. I'd like to look into this, kindly drop in your 1/2 ^EM",There is insufficient historical evidence for safe automatic handling of this Prime membership request.
@AmazonHelp A just need acces to my account why are you lot making this so hard for me,account_issue,account_issue,escalate,escalate,0.5830678358221043,@630043 We'd like to take another look into this. Please reach us once more by phone here: https://t.co/zYVX1Qi29G ^MV,The message involves an account or contact-detail issue that may require account-specific verification or human intervention.
"@AmazonHelp Num: CR0000301163
En transit
Livraison avant 20h",delivery_issue,service_complaint,auto_handle,escalate,0.5127625404348277,"@133252 N'ayant pas accès à votre compte depuis Twitter, je vous prie de le signaler à notre SAV si votre colis n'est toujours pas livré via le lien suivant : https://t.co/hgIrz98cdI ^MA",The historical evidence is not sufficiently strong for safe automatic handling of the complaint.
"@AmazonHelp @115830  Can you please quote the definition of ""Guaranteed delivery"" please?What's the point in prime if you fail to deliver?",delivery_issue,prime_membership,escalate,escalate,0.37829597002489357,"@786364 Oh, no! Have we missed the provided delivery date in Your Orders: https://t.co/aaDyEz1VgE? ^DG",There is insufficient historical evidence for safe automatic handling of this Prime membership request.
@AmazonHelp Could I get a message please? I’ve got a complaint to make,service_complaint,service_complaint,escalate,escalate,0.6379650686058149,@306377 Have you tried a different browser? ^AS,"The customer indicates an unresolved complaint, repeated unsuccessful support, dissatisfaction requiring intervention, or insufficient context for safe automatic handling."
@AmazonHelp See line extra 3000 off on this mobile,service_complaint,service_complaint,auto_handle,escalate,0.45628836956540375,"@802183 No problem, Anna! Let us know how you get on.^TI",The message involves an account or contact-detail issue that may require account-specific verification or human intervention.
"@115821 Today it was @81 , the gear I got yesterday was @115817",service_complaint,service_complaint,auto_handle,escalate,0.37054024116117373,@206718 to you in this regards. Kindly check it here: https://t.co/8DAc119Io4 and reply to it for further assistance. (2/2)^SF,The historical evidence is not sufficiently strong for safe automatic handling of the complaint.
.@AmazonHelp Pre-ordered @123473 @466085 #Slobberkocker a month ago. Now I've been told it won't be dispatched until DECEMBER! Why?,delivery_issue,order_issue,escalate,escalate,0.37137326660926134,@182510 Sorry to hear this. What does the latest tracking advising?: https://t.co/aaDyEz1VgE ^PK,The message describes an order-specific problem that may require case-specific intervention.
"@AmazonHelp Ist aktiviert, funktioniert aber nicht. Heute wieder 2x😩  Kam bisher nur 1x an, bei einer Bestellung von Amazon USA. Geht auch anderen so. 🙁",service_complaint,service_complaint,auto_handle,escalate,0.27361208298244755,@525036 Was ist denn passiert? ^SK,The historical evidence is not sufficiently strong for safe automatic handling of the complaint.
@115850 @115850 I am expecting a quick response,service_complaint,service_complaint,auto_handle,escalate,0.4287909757780038,@688603 You're most welcome. ^CB,The historical evidence is not sufficiently strong for safe automatic handling of the complaint.
"@115850 Return pick is not as per date schedule.
Unsatisfied with Amazon service.pin394601 __email__",refund_return,refund_return,escalate,escalate,0.34977561447547095,"@738981 I understand your concern regarding the return pickup. We’d like to help you, please fill in your details here: https://t.co/beaaDm0muc and we’ll contact you soon. ^PJ","Refund and return requests can involve order-specific actions, so they are escalated for safe handling."
@AmazonHelp I don't think it's anything nefarious but I get constant order and shipping confirmations for things I didn't buy which is super annoying,delivery_issue,delivery_issue,escalate,escalate,0.3171397238543312,@426348 Sorry about that. Kindly share your details here: https://t.co/beaaDm0muc and we'll have this checked. ^GK,There is insufficient historical evidence for safe automatic handling of the delivery issue.
"Compras navideñas, listas ✔
Gracias @116875 !!",service_complaint,service_complaint,auto_handle,auto_handle,0.8224367038945668,@533952 Con gusto L.Carlos. ¡Esperamos que lo disfrutes mucho! ¡Es un excelente juego! 🎮💙❤️ ^JJ,The complaint is sufficiently similar to historical support conversations and does not show a strong unresolved-support signal.
@AmazonHelp I've ordered through Amazon.. The product was received by the courier.. But they've said that they can't deliver to my home..,delivery_issue,delivery_issue,escalate,escalate,0.2567699727943094,"@146928 We strive to offer you the best Black Friday Sales. During this time, deliveries may take slightly longer than usual. The delivery date at checkout provides our most accurate estimated delivery date. ^GA",There is insufficient historical evidence for safe automatic handling of the delivery issue.
Clients @115821 attention à l'arnaque qui tourne par mail !!! https://t.co/UgGWLuJjw1,service_complaint,service_complaint,auto_handle,escalate,0.38759331645588596,"@772336 Bonjour, désolée pour cela, en effet ce n'est pas un émail provenant d'Amazon, nous vous conseillons de ne pas y répondre et si possible de nous le transférer à __email__ afin qu'on puisse vérifier son origine.
^KE",The historical evidence is not sufficiently strong for safe automatic handling of the complaint.
"@AmazonHelp My recent orders aren't displaying in My Account, can you help?",service_complaint,account_issue,escalate,escalate,0.3979791548913149,@704438 Kindly get in touch with us here: https://t.co/vlvfJr4nN9 and we'll assist you accordingly. ^AU,The message involves an account or contact-detail issue that may require account-specific verification or human intervention.
@AmazonHelp @115850 so any update,payment_issue,service_complaint,escalate,escalate,0.8875121002868811,@400536 We can't gain access to your account details via Twitter and help you here. Please share your details as (1/2) ^KA,"The customer is requesting an update on an existing case, which may require case-specific information."
@AmazonHelp i think amazon have just took a random £1 off me? I have no idea why,service_complaint,service_complaint,auto_handle,escalate,0.5964115900632991,@194875 Thanks for checking! Available replacement and refund options for your order can be found here: https://t.co/72v7Ek7mGW ^DW,The historical evidence is not sufficiently strong for safe automatic handling of the complaint.
朝いきなりAmazon有料サイトてきたあ(＞＜)こわっいぃぃぃ https://t.co/EtCZ6oi0fU,service_complaint,service_complaint,auto_handle,auto_handle,1.0,@810282 大人買いありがとうございます！（「だんばい」じゃなくて「おとこうめ」ですよね？）Oo｡ヾ(;´▽｀A`` TN,The complaint is sufficiently similar to historical support conversations and does not show a strong unresolved-support signal.
Hello @115821 where the heck is the cat tree I ordered for my cat’s birthday. It was supposed to be here yesterday,service_complaint,order_issue,escalate,escalate,0.3470938673550032,@189386 I'm sorry you received the wrong item! You can see refund or replacement options here: https://t.co/4p4HwPguR2 ^AM,The historical evidence is not sufficiently strong for safe automatic handling of this order issue.
@115830 really annoying Mr at this stage can't get a single issue resolved. Can I please have a contact number for customer service in Ireland,service_complaint,service_complaint,auto_handle,escalate,0.3935343842839063,@322826 You can contact us from any of our Help pages. You can also reach us here: https://t.co/qy3J24VGxb ^AF,The customer explicitly requests human assistance or case-specific intervention.
